Article Title,Article Link,Article Text,Article Summary,Article Image
Indian envoy Devyani Khobrogade dresses up as 'Apsara' on Cambodian New Year,https://timesofindia.indiatimes.com/india/indian-envoy-devyani-khobrogade-dresses-up-as-apsara-on-cambodian-new-year/articleshow/109286536.cms,"Who is Devyani Khobrogade?

India-US ties

(With ANI inputs)

NEW DELHI: Devyani Khobrogade, the Indian ambassador to Cambodia , on Sunday grabbed eyeballs on social media by dressing as a ' Khmer Apsara ' to extend New Year wishes to the Cambodian people.The photoshoot showcasing her elegant attire has been circulating widely on the internet.The Indian Embassy in Cambodia shared on X, ""Ambassador Devyani Khobragade has a deep admiration for Khmer culture and tradition.Embracing the spirit of Khmer New Year, she elegantly dressed as a Khmer Apsara, embodying the rich bond of our civilizations. Wishing all our Cambodia friends a joyous Khmer New Year celebration.""Khobrogade, an Indian Foreign Service officer since 1999, has previously served in various Indian missions, including Berlin, New York, Islamabad, and Rome. However, her tenure in New York was marked by controversy when she was arrested on visa fraud charges and accused of providing a ""false statement"".Additionally, allegations surfaced claiming she paid her domestic help below the minimum wage in the United States, which she strongly denied as ""false and baseless."" The charges were later dismissed by a US court, citing diplomatic immunity.The incident strained India-US relations as India refused to waive Khobrogade's diplomatic immunity despite US requests.Consequently, Khobrogade returned to India, and New Delhi responded by downgrading the privileges of certain US diplomats in the country.In retaliation, the US withdrew one of its diplomats from India, marking a tense period in the diplomatic relations between the two nations.","The photoshoot showcasing her elegant attire has been circulating widely on the internet. Khobrogade has previously served in various Indian missions, including Berlin, New York, Islamabad, and Rome. Her tenure in New York was marked by controversy when she was arrested on visa fraud charges and accused of providing a ""false statement""","https://static.toiimg.com/thumb/msid-109287848,imgsize-100384,width-400,resizemode-4/109287848.jpg"
"Manish Sisodia interim bail: Delhi court issues notice to ED, CBI",https://timesofindia.indiatimes.com/india/manish-sisodia-interim-bail-delhi-court-issues-notice-to-ed-cbi/articleshow/109245806.cms,"NEW DELHI: A Delhi court on Friday issued a notice to Enforcement Directorate (ED) and Central Bureau of India (CBI) following Aam Aadmi Party (AAP) leader and former deputy chief minister Manish Sisodia's request for interim bail to campaign in general elections.Rouse Avenue Court's special judge Kaveri Baweja instructed the central probe agencies to respond by April 20, when the court will review the plea.CBI and ED have alleged irregularities in the modification of Delhi's excise policy, including undue favors to license holders, waivers of license fees, and extensions without proper approval. The accused officials are said to have diverted illegal gains to themselves and falsified accounts to avoid detection.Sisodia was arrested by CBI on February 26 and ED on March 9 last year in connection with these allegations. He resigned from the Delhi cabinet on February 28, 2023.Earlier, while opposing the regular bail plea of Sisodia, ED said that there was no delay on the part of the prosecution, rather, the delay was caused by the accused persons by filing frivolous applications in the excise policy case, extending his judicial custody till April 18.However, Sisodia's counsel cited in his bail plea a delay in trial. It was argued that trial proceedings are going at a snail's pace.","Aam Aadmi Party (AAP) leader and former deputy chief minister Manish Sisodia's request for interim bail to campaign in general elections. CBI and ED have alleged irregularities in the modification of Delhi's excise policy, including undue favors to license holders and waivers of license fees.","https://static.toiimg.com/thumb/msid-109246505,imgsize-751832,width-400,resizemode-4/109246505.jpg"
"Robust data system, says government to counter Lancet's lack of accuracy charge",https://timesofindia.indiatimes.com/india/robust-data-system-says-government-to-counter-lancets-lack-of-accuracy-charge/articleshow/109277229.cms,"NEW DELHI: In a sharp rebuttal to Lancet's claim about lack of accuracy and transparency in sharing data on health indices , govt officials Saturday said India has a robust system of documenting births and deaths under the Registration of Births and Deaths Act, 1969, through the Civil Registration System. ""It provides a unified process of continuous, permanent, compulsory, independent and universal recording of births and deaths,"" they said, adding that more than 90% of births and deaths are registered online on the state or national portals.The Lancet, a global medical journal, claimed in an editorial titled 'India's elections: Why data and transparency matter' that accurate and up-to-date data are essential for health policy, planning, and management, but the collection and publication of such data in India have undergone serious setbacks and impediments in recent times.The editorial raised questions on India's claim that only 4.8 lakh people died because of Covid pandemic saying that WHO and other estimates are six to eight times higher (including excess deaths, most of which will be due to Covid-19) - a claim govt has repeatedly rebutted. The editorial also claimed that the govt spending on health had fallen.An official, however, pointed out that share of govt health expenditure has increased over time - from Rs 1,39,949 crore in 2014-15 to Rs 4,34,163 crore (provisional data) in 2021-22, as per latest National Health Accounts Estimates. ""Out of pocket expenditure as share of total health expenditure reduced from 62.6% in 2014-15 to 39.4% in 2021-22,"" she added.","The Lancet, a global medical journal, claimed in an editorial titled 'India's elections: Why data and transparency matter' that accurate and up-to-date data are essential for health policy, planning, and management. The editorial raised questions on India's claim that only 4.8 lakh people died because of Covid pandemic.","https://static.toiimg.com/thumb/msid-109277347,imgsize-1038426,width-400,resizemode-4/109277347.jpg"
"7-year-old injured in Iran's retaliatory attack on Israel, says Israeli envoy to India",https://timesofindia.indiatimes.com/india/7-year-old-injured-in-irans-retaliatory-attack-on-israel-says-israeli-envoy-to-india/articleshow/109286965.cms,"NEW DELHI: Following Iran 's attack on Israel with over 300 drones and missiles on Saturday night, Israeli Ambassador to India, Naor Gilon, highlighted that a seven-year-old girl was hit by a shrapnel, adding that she has now been treated but is still in severe condition.Iran on Saturday attacked Israel by striking it with over hundrends of drones and missiles, in retaliation for Israel's attack on the Iranian consulate in Syria earlier this month.The Israeli envoy further told ANI that Iran is the financier, trainer and equipper of Hamas and Hezbollah , and all of them are fighting with Israel.""Iran is the financer, trainer and equipper of Hamas, Hezbollah in Lebanon...in Iraq and Syria, the Houthis in Yemen, all of them are fighting with us. And what happened yesterday is that Iran turned it from a war by proxy to a direct attack on Israel,"" he said.""From the Iranian country to Israel, they fired 331 rockets, different kinds of rockets, cruise missiles, and UAVs,"" Gilon added.Moreover, he stressed that the Israel Defence Forces were able to intercept 99 per cent of the incoming rockets.""With the help of some of our friends in the region, but mostly by the capabilities of the Israeli defense forces and air force, we were able to intercept 99% of the incoming rockets,"" he told ANI.""There was, unfortunately one casualty, a seven year old child, who was hit by shrapnel from, probably from one of the interceptors. We don't know exactly. Unfortunately, she was wounded and she's treated, but in severe conditions still,"" Israeli envoy Gilon said.Israel, in a move to protect its citizens, has announced to close all schools and other educational systems, effective Sunday, as the country's defence forces remain on high alert following Iran hitting Israel with over 200 projectiles, the Jerusalem Post reported.Moreover, it further urged the Israeli civilians to be vigilant, to head to shelters upon hearing a warning siren, and to remain there for 10 minutes.Israel, in a move to protect its citizens, has announced to close all schools and other educational systems, effective Sunday, as the country's defence forces remain on high alert following Iran hitting Israel with over 200 projectiles, the Jerusalem Post reported.The Israeli civilians were asked to stay vigilant, and to head to shelters upon hearing a warning siren, and to remain there for 10 minutes.","Iran on Saturday attacked Israel by striking it with over hundrends of drones and missiles, in retaliation for Israel's attack on the Iranian consulate in Syria earlier this month. Israeli Ambassador to India, Naor Gilon, highlighted that a seven-year-old girl was hit by a shrapnel, adding that she has now been treated but is still in severe condition.","https://static.toiimg.com/thumb/msid-47529300,imgsize-110164,width-400,resizemode-4/47529300.jpg"
Iran-Israel war: India releases helpline numbers for Indians in Israel,https://timesofindia.indiatimes.com/india/iran-israel-war-india-releases-helpline-numbers-for-indians-in-israel/articleshow/109285108.cms,"NEW DELHI: The ministry of external affairs on Sunday released emergency helpline numbers to facilitate urgent assistance, the embassy provided 24/7 emergency contact information along with a form to register with the embassy for further update and support.The tweet stated, ""In light of recent events in the region, all Indian nationals in Israel are advised to stay calm and adhere to the safety protocols issued by the local authorities (https://www.oref.org.i/en).Embassy is closely monitoring the situation and is in touch with the Israeli authorities and Indian community members to ensure the safety of all our nationals.For any urgent assistance, please contact the Embassy at:24*7 Emergency Helpline/ContactTel: 1. +972-5475207112. +972-543278392Email: cons 1.telaviv@mea.gov.inThose Indian nationals who are yet to register with the embassy may do so at the link: https://forms.gle/ftp3DEXgJwH8XVRdA""In another tweet Indian embassy in Tehran have released multiple helpline numbers for Indians in Israel. ""Embassy of India in Tehran has activated additional helpline numbers. For any assistance, please contact the Embassy at: +989128109115; +989128109109; +98993179567; +989932179359; +98-21-88755103-5; cons.tehran@mea.gov.in""In response to the unfolding events, Indian nationals in Israel were advised to remain calm and follow safety protocols provided by local authorities. The Indian embassy in Israel assured its continuous monitoring of the situation and remained in close contact with Israeli authorities and the Indian community to ensure the safety of all citizens.Regarding flight operations, Indian airlines were likely to suspend flights to and from Tel Aviv amid the heightened tensions between Iran and Israel. This decision came after Iran and its proxies launched over 200 projectiles, including ballistic missiles, cruise missiles, and drones, towards Israel.While an Air India flight safely landed in Tel Aviv, further operations were anticipated to be suspended pending an official announcement. Major airlines like El Al and Air India had been operating commercial flights between Israel and India, but their services were likely to be affected by the escalating conflict.India reiterated its commitment to maintaining security and stability in the region and emphasized the importance of de-escalating tensions through diplomatic means.(With inputs from agency)",The ministry of external affairs on Sunday released emergency helpline numbers to facilitate urgent assistance. The embassy provided 24/7 emergency contact information along with a form to register with the embassy for further update and support. Indian airlines were likely to suspend flights to and from Tel Aviv amid the heightened tensions between Iran and Israel.,"https://static.toiimg.com/thumb/msid-109285151,imgsize-850756,width-400,resizemode-4/109285151.jpg"
"President Murmu, CJI, PM Modi, Rahul Gandhi pay homage to BR Ambedkar on his 134th birth anniversary",https://timesofindia.indiatimes.com/india/president-murmu-cji-pm-modi-rahul-gandhi-pay-homage-to-br-ambedkar-on-his-134th-birth-anniversary/articleshow/109283253.cms,"NEW DELHI: President Droupadi Murmu and Prime Minister Narendra Modi on Sunday honoured Dr BR Ambedkar with floral tributes on his 134th birth anniversary.The Chief Justice of India DY Chandrachud offered floral homage to the statue of BR Ambedkar at the Supreme Court premises, commemorating his birth anniversary.Vice President Jagdeep Dhankhar also paid homage to the architect of the Constitution at his statue within the Parliament premises.""On the occasion of the birth anniversary of Babasaheb Bhimrao Ramji Ambedkar, the architect of our Constitution and one of the most eminent nation builders, I extend my warm greetings and best wishes to all fellow citizens,"" President Murmu said, in a post on X (formerly Twitter).Vice President Dhankhar, in his tribute to BR Ambedkar, highlighted the latter's role in spearheading social transformation towards forging an egalitarian India. He emphasised Dr Ambedkar's instrumental contribution through a constitutional framework that upholds the rule of law, civil liberties, gender equality, and the empowerment of marginalised communities.Congress leader Rahul Gandhi also honored BR Ambedkar with a tribute. In a tweet posted on X, he wrote ""Respectful tributes to the architect of the Indian Constitution and warrior of social justice, Dr Bhim Rao Ambedkar ji on his birth anniversary. His courage, his knowledge, and contribution in strengthening democracy are his legacy that will continue to inspire us in every struggle for the country.""",President Droupadi Murmu and Prime Minister Narendra Modi honoured Dr BR Ambedkar with floral tributes. Chief Justice of India DY Chandrachud offered floral homage to the statue at the Supreme Court premises. Vice President Jagdeep Dhankhar highlighted the latter's role in spearheading social transformation towards forging an egalitarian India.,"https://static.toiimg.com/thumb/msid-109283410,imgsize-1894198,width-400,resizemode-4/109283410.jpg"
DRDO successfully conducted MPATGM weapon system developmental trials in Rajasthan,https://timesofindia.indiatimes.com/india/drdo-successfully-conductd-mpatgm-weapon-system-developmental-trials-at-pffr-in-rajasthan/articleshow/109282611.cms,"NEW DELHI: In a significant stride towards bolstering India's indigenous defense capabilities, the Defence Research and Development Organisation ( DRDO ) has achieved a major milestone with the successful trials of the Man-Portable Anti-Tank Guided Missile ( MPATGM ) Weapon System .The trials, which took place at the Pokhran Field Firing Range ( PFFR ) in Rajasthan , witnessed the exemplary performance of the MPATGM under the scrutiny of the user team .The missile's performance, coupled with the efficacy of its warhead, garnered praise during the trials.Designed and developed domestically by DRDO, the MPATGM Weapon System comprises the MPATGM itself, the Man Portable Launcher, the Target Acquisition System (TAS), and the Fire Control Unit (FCU). The trials have demonstrated the system's ability to operate within the complete operational envelope as per the General Staff Qualitative Requirements (GSQR) set by the Indian Army.Of particular note is the successful completion of penetration trials for the Tandem Warhead System of the MPATGM, affirming its capability to defeat modern armor-protected Main Battle Tanks (MBTs). Equipped with day/night and top attack capabilities, the Anti-Tank Guided Missile system boasts a dual-mode seeker functionality, enhancing its effectiveness in tank warfare scenarios.With the conclusion of technology development and successful demonstrations, the MPATGM system now awaits final user evaluation trials before induction into the Indian Army, heralding a significant leap towards self-reliance in defense manufacturing, as emphasized by Defence Minister Rajnath Singh.Expressing commendation for DRDO and the Indian Army, Minister Singh hailed the successful trials as a crucial stride towards realizing the vision of 'Atmanirbhar Bharat' (self-reliant India).Secretary of the Department of Defence R&D and Chairman of DRDO extended congratulations to the teams involved in the trials, underscoring the collaborative effort and technical prowess that culminated in this achievement.","The trials took place at the Pokhran Field Firing Range ( PFFR ) in Rajasthan. The missile's performance, coupled with the efficacy of its warhead, garnered praise during the trials. Equipped with day/night and top attack capabilities, the Anti-Tank Guided Missile system boasts a dual-mode seeker functionality.","https://static.toiimg.com/thumb/msid-109282931,imgsize-630470,width-400,resizemode-4/109282931.jpg"
"India urges de-escalation amid Israel-Iran tensions, MEA says embassies in touch with Indian community",https://timesofindia.indiatimes.com/india/israel-iran-war-india-calls-for-immediate-de-escalation-embassies-in-close-touch-with-indian-community-says-mea/articleshow/109281180.cms,"NEW DELHI: In response to the escalating tensions between Israel and Iran, ministry of external affairs ( MEA ) on Sunday issued a statement expressing serious concern over the potential threat to regional peace and security .""We are seriously concerned at the escalation of hostilities between Israel and Iran which threatens the peace and security in the region,"" the MEA said in the statement.The ministry called for an immediate de-escalation of the situation, emphasizing the importance of exercising restraint and refraining from further violence. Stressing the need for diplomacy to prevail, India urged both parties to step back from confrontation and seek peaceful resolutions to their differences.""We call for immediate de-escalation, exercise of restraint, stepping back from violence and return to the path of diplomacy,"" the MEA said.India, closely monitoring the evolving situation, assured that its embassies in the region are actively engaging with the Indian community , providing support and assistance as needed.""We are closely monitoring the evolving situation. Our Embassies in the region are in close touch with the Indian community,"" the MEA affirmed.Highlighting the significance of maintaining security and stability in the region, India reiterated the importance of all parties involved prioritizing peaceful dialogue and cooperative measures. ""It is vital that security and stability are maintained in the region,"" the MEA said","India expresses serious concern over the potential threat to regional peace and security. India urges both parties to step back from confrontation and seek peaceful resolutions to their differences. India assured that its embassies in the region are actively engaging with the Indian community, providing support and assistance as needed.","https://static.toiimg.com/thumb/msid-109281180,imgsize-21994,width-400,resizemode-4/109281180.jpg"
"'SC's DMRC order pertained to DAMEPL, not Reliance Infra'",https://timesofindia.indiatimes.com/india/scs-dmrc-order-pertained-to-damepl-not-reliance-infra/articleshow/109280601.cms,"In response to an article, 'CJI-led bench tears into 2021 SC order in favour of Rel Infra', which was published in TOI on April 11, Reliance Infrastructure has stated that the Supreme Court order dated April 10 ""does not mention the name of Reliance Infrastructure Ltd. The case involving Delhi Metro Rail Corporation (DMRC) pertains to Delhi Airport Metro Express Pvt Ltd (DAMEPL), which is a separate entity.""","Reliance Infrastructure has stated that the Supreme Court order dated April 10 ""does not mention the name of Reliance Infrastructure Ltd"" The case involving Delhi Metro Rail Corporation (DMRC) pertains to Delhi Airport Metro Express Pvt Ltd (DAMEPL), which is a separate entity.","https://static.toiimg.com/thumb/msid-109280605,imgsize-88312,width-400,resizemode-4/109280605.jpg"
Kerala high court seeks fitness certificate of captive jumbos,https://timesofindia.indiatimes.com/india/kerala-high-court-seeks-fitness-certificate-of-captive-jumbos/articleshow/109280551.cms,"KOCHI: Kerala high court has directed forest officials to submit before Monday fitness certificate and list of captive elephants being paraded in Thrissur Pooram , the annual temple festival, being held on April 19.The bench of Justices A K Jayasankaran Nambiar and P Gopinath, while hearing petitions related to human-animal conflicts across state, ordered that elephants with health issues should not participate in the festival.The next hearing date on the matter is April 17.HC has also directed that during parading of elephants in processions associated with festivals, the orders of chief wildlife warden and other authorities must be strictly adhered to.","HC has also directed that during parading of elephants in processions associated with festivals, the orders of chief wildlife warden and other authorities must be strictly adhered to. The next hearing date on the matter is April 17. The bench is hearing petitions related to human-animal conflicts across state.","https://static.toiimg.com/thumb/msid-109280563,imgsize-20544,width-400,resizemode-4/109280563.jpg"
