Article Title,Article Link,Article Text,Article Summary,Article Image
Stone hurled at Jagan Mohan Reddy ignites war of words among Andhra Pradesh parties,https://timesofindia.indiatimes.com/india/stone-hurled-at-jagan-mohan-reddy-ignites-war-of-words-among-andhra-pradesh-parties/articleshow/109288484.cms,"AMARAVATI: The YSRCP and the TDP in Andhra Pradesh engaged in a war of words on Sunday after a stone was hurled at ruling party chief and Andhra Pradesh Chief Minister Y S Jagan Mohan Reddy when he was canvassing for votes, which left a small injury on his left temple. The chief minister was hit by a stone on the left side of his head in Vijayawada on Saturday night while canvassing.The stone was allegedly hurled by some unknown persons at high speed, leading to a small cut.YSRCP General Secretary S Ramakrishna Reddy claimed that the attack was a pre-meditated cold-blooded attack on the CM. ""Who would have planned such an attempt? It stems from the insecurity that the TDP is experiencing as they are witnessing the response our leader is getting through the poll campaign, through the roadshows and 'siddham sabhas' (meetings),"" he said, addressing a press conference.Ramakrishna Reddy alleged that TDP supremo N Chandrababu Naidu had recently instigated the crowd in his 'prajagalam' (canvassing) meetings to attack Jagan Reddy, and claimed that Naidu and his party would benefit if the YSRCP chief could not mingle with the masses. ""This leads us to presume that the TDP and their leader (Naidu) are responsible for the attack,"" he said, adding that the injury is a fact and its location sensitive. Further, he claimed that the opposition party is trying to downplay the incident due to the ""fear of exposure"" and also resorting to making inhumane comments.Meanwhile, YSRCP Nellore Lok Sabha candidate V Vijayasai Reddy alleged that Naidu ""never engaged in politics believing in development"". ""It has been proven again that he (Naidu) engages in cowardly politics, believing in violence and conspiracies,"" Vijayasai Reddy in a post on social media platform X.Ruling party leaders, ministers and others castigated Naidu and the TDP, claiming that the opposition party was involved in the attack on the CM. Chandrababu Naidu condemned the attack on Reddy.""I strongly condemn the attack on Jagan. I request the Election Commission of India (ECI) to initiate an impartial and unbiased inquiry into the incident and punish the responsible officials,"" he said in a post on X. However, the TDP alleged that the attack on Jagan Reddy was stage-managed.Backing Naidu's appeal to the Election Commission to undertake an impartial and unbiased probe into the attack, TDP Spokesperson Pattabhiram Kommareddy questioned the timing and circumstances of the attack. ""It only tends to raise a question about the validity of an act like this when it is so coincidental, yet in sync. It wouldn't be the first time that the YSRCP has staged such an act, much like the infamous 'kodi kathi' drama, not only for sympathy but to also create confusion and unrest, right when the elections are around the corner,"" Kommareddy alleged.Condemning the alleged attack on the CM, Andhra Pradesh Congress Committee (APCC) President Y S Sharmila said she believes it was accidental. However, if it was not so, she said, everybody should condemn it. Sharmila said she is praying to god for the quick recovery of her older brother Jagan Reddy.Ramakrishna Reddy said the ruling party would submit a representation to the EC to expedite the inquiry into the incident and unearth the facts. Jagan Reddy is unperturbed by the attack he said, but he is taking rest today, pausing his 'Memantha Siddham' (We Are All Ready) election canvassing bus tour, to resume on Monday.","YSRCP General Secretary S Ramakrishna Reddy claimed that the attack was a pre- meditated cold-blooded attack on the CM. The chief minister was hit by a stone on the left side of his head in Vijayawada on Saturday night while canvassing. The stone was allegedly hurled by some unknown persons at high speed, leading to a small cut.","https://static.toiimg.com/thumb/msid-109288679,imgsize-63668,width-400,resizemode-4/109288679.jpg"
"BJP Lok Sabha manifesto ignores unemployment, issues concerning farmers, inflation: Tejashwi",https://timesofindia.indiatimes.com/india/bjp-lok-sabha-manifesto-ignores-unemployment-issues-concerning-farmers-inflation-tejashwi/articleshow/109287795.cms,"PATNA: Senior RJD leader Tejashwi Yadav on Sunday said the BJP Lok Sabha manifesto ""ignored"" unemployment, issues concerning farmers and inflation. Talking to reporters, he said, ""There is no mention of jobs and employment anywhere in the BJP manifesto. There is no mention of reducing inflation, unemployment and poverty . There is nothing in the manifesto for 60 per cent youth of the country, 80 per cent farmers and villages of the country.They (BJP) ignored unemployment, issues concerning farmers and inflation in its manifesto. In fact...It proves that the BJP has nothing to offer people.""Prime Minister Narendra Modi on Sunday BJP released the BJP Lok Sabha manifesto in the national capital in the presence of BJP president JP Nadda , Home Minister Amit Shah, and Defense Minister Rajnath Singh.The former Bihar Deputy Chief Minister said, ""BJP's manifesto has exposed the mindset of its leaders towards backward and poor states. …This party is not concerned about backward and poor states…There is nothing in it for the development and upliftment of such states like Bihar.""What happened about the special status to Bihar…what about the special package which we have been demanding for the overall development of Bihar? All the promises made by BJP leaders before the last Lok Sabha polls remained promises only.""","Senior RJD leader Tejashwi Yadav on Sunday said the BJP Lok Sabha manifesto ""ignored"" unemployment, issues concerning farmers and inflation. ""There is no mention of jobs and employment anywhere in the BJP manifesto,"" he said. ""It proves that the BJP has nothing to offer people,"" he added.","https://static.toiimg.com/thumb/msid-109288325,imgsize-149346,width-400,resizemode-4/109288325.jpg"
"All eyes on Nagpur, a former Cong bastion, due to 'development man' Gadkari",https://timesofindia.indiatimes.com/india/all-eyes-on-nagpur-a-former-cong-bastion-due-to-development-man-gadkari/articleshow/109287265.cms,"NAGPUR: The battle for the Nagpur Lok Sabha seat in Maharashtra is among the most watched in the country due to the presence of Union Minister Nitin Gadkari , a hardcore RSS loyalist who has a legion of admirers for his development work as well as the penchant for talking straight.In 2014, he defeated seven-time MP Vilas Muttemwar by a margin of 2.84 lakh votes and retained the seat in 2019 by defeating current Maharashtra Congress chief Nana Patole by 2.16 lakh votes.Nagpur, with 22,18,259 voters comprising 11,10,840 males, 11,07,197 females and 222 third-gender persons, is Vidarbha's largest city and has connection to the Rashtriya Swayamsevak Sangh, the ideological mentor of the BJP , as well as Ambedkarism on the other end of the spectrum, since the legendary social reformer converted to Buddhism here.The seat was a bastion of the Congress, which has won it 13 out of 17 times. ""Gadkari is part of the RSS ecosystem and is very close to the organisation. He is widely seen as an alternative to Prime Minister Narendra Modi in the BJP. These two aspects make Nagpur a very important seat,"" senior journalist and political analyst Vivek Deshpande told PTI.Gadkari won in 2014 due to the Modi wave and in 2019 for his reputation as a taskmaster who set several infrastructure projects rolling in Nagpur as well as the country, he said. His ability to talk straight has given him a reputation as the only challenger to Modi, Deshpande claimed.""Factors like Pulwama which helped BJP in 2019 are missing. Its induction of allegedly tainted leaders has seen BJP getting attacked with washing machine jibes. The opposition, unlike last time, is united. The reputation of Rahul Gandhi as a serious politician has improved after his Bharat Jodo and Nyay Yatras,"" Deshpande said.Moreover, unemployment and inflation are talking points, he said, adding the deciding factor in Nagpur will be Gadkari's work and his larger-than-life image among voters. Some 12 lakh voters in Nagpur belong to the Dalit, Kunbi, Halba and Muslim communities and these could upset caste equations in Gadkari's pursuit for a third straight win, he claimed. Patole got 4.5 lakh votes in 2019 despite being from outside Nagpur, whereas the Congress' 2024 candidate Vikas Thakre is a local leader, which too will play a role, Deshpande said.Former MP and senior Congress leader Vilas Muttemwar punched holes in the BJP's claims that it had brought about all round development in Nagpur. The BJP's development works are not those that bring relief to people, he said, adding that it had not brought down prices of gas and fuel even when international rates of these items were low. He said Comptroller and Auditor General reports cited cost overruns in Dwarka Expressway project, which is being helmed by Gadkari's ministry of road transport and highways.Muttemwar also said Gadkari's reported statement that he will not come to seek votes but would still win by a margin of over five lakh would also be factors in the Lok Sabha polls in the city. ""Nagpur is a Congress bastion. The Bharatiya Janata Party won in 2014 and 2019 due to false promises and fake allegations against the UPA government under Dr Manmohan Singh. People are fully aware now. The wave is against the BJP as people are distressed,"" he claimed.Vikas Thakre will win against Gadkari by more than one lakh votes, he asserted. He was countered by MLC Pravin Datke, former BJP city chief and cluster in charge of four Lok Sabha seats, who said Gadkari's victory margin would increase.The voting percentage will increase by 5 per cent, Gadkari will get 62-64 per cent of votes polled, up from 59 per cent in 2019, and he will win with a margin of 5 lakh votes, Datke claimed. ""Nagpur is among the most developed cities under the leadership of Gadkari and (Maharashtra Deputy Chief Minister and local MLA) Devendra Fadnavis.Everyone, irrespective of caste and religion, loves Gadkari. He has made Nagpur famous with his development works,"" Datke said. Moreover, Gadkari has immense ground connect since he meets some 5000 people in his constituency every 15 days, all of which will ensure a handsome victory, he added.Meanwhile, CPI Nagpur district joint secretary Dr Yugal Rayalu said inflation, unemployment and use of probe agencies to attack the opposition, resulting in the arrests of Delhi Chief Minister Arvind Kejriwal and former Jharkhand CM Hemant Soren, will harm the BJP. The CPI is supporting Congress' Vikas Thakre, he added.","Gadkari is widely seen as an alternative to Prime Minister Narendra Modi in the BJP. The seat was a bastion of the Congress, which has won it 13 out of 17 times. 12 lakh voters in Nagpur belong to the Dalit, Kunbi, Halba and Muslim communities.","https://static.toiimg.com/thumb/msid-109287427,imgsize-93004,width-400,resizemode-4/109287427.jpg"
EC's novel initiative to increase voter turnout in UP: Polling stations in housing societies,https://timesofindia.indiatimes.com/india/ecs-novel-initiative-to-increase-voter-turnout-in-up-polling-stations-in-housing-societies/articleshow/109287418.cms,"LUCKNOW: The Election Commission of India has set up more than 200 polling stations within housing societies in the urban areas of Uttar Pradesh to increase the voter turnout in the politically crucial state.In an interview with PTI, state's Chief Electoral Officer Navdeep Rinwa said the poll body is targeting urban areas that have registered a low voter turnout in the past and expressed that Uttar Pradesh will secure the first position as far as voting percentage is concerned.In the 2019 Lok Sabha elections, the voting percentage in Uttar Pradesh was a tepid 59.11 per cent.""We have taken a number of important steps to ensure that all kinds of barriers that prevent voters from casting votes are removed. We have ensured that the polling station is located within a two-kilometre radius of every voter.""Also in urban areas, we have undertaken a new initiative of setting up polling stations within gated communities and multi-storeyed housing societies where there has been a low voter turnout in the past,"" Rinwa told PTI.The senior official said 200-plus polling booths have been set up across the state, with Noida taking the lead.""Uttar Pradesh has the maximum number of such polling stations and Noida has taken the lead in this regard. Ghaziabad, Lucknow, Kanpur, Bareilly and even Mathura will have such polling stations,"" Rinwa said.Asked if the polling percentage in Uttar Pradesh will exceed 60 per cent this time, the CEO said, ""I am confident that UP voters will score the first division and pass with flying colours.""Rinwa highlighted that SVEEP (Systematic Voter's Education and Electoral Participation) activities are also ongoing in the state.SVEEP is a flagship programme of the Election Commission for voter education, spreading voter awareness and promoting voter literacy.On the tepid voter turnout in 2019, Rinwa said, ""To find out the reasons, we have taken a bottoms-up approach for each assembly constituency.""We have asked the EROs (electoral registration officers) and DMs (district magistrates) to prepare a Turnout Implementation Plan (TIP) -- an initiative of the ECI -- to identify the reasons for the low turnout in each assembly constituency and polling station. This is happening for the first time in the country,"" Rinwa said.Rinwa said, this time, more than 15.30 crore people across Uttar Pradesh would be exercising their franchise and the voting will be held from 7 am to 6 pm -- except in two assembly constituencies of Sonbhadra district, as it was earlier affected by Left Wing Extremism.Sonbhadra shares its boundaries with Bihar, Jharkhand, Chhattisgarh and Madhya Pradesh.""Keeping this in mind, the polling timing of 7 am to 4 pm has been proposed to the ECI. The ECI is yet to approve the timing, as it is done phase-wise,"" he said.Robertsganj (SC) Lok Sabha seat in Sonbhadra will go to polls in the seventh phase on June 1.Asked about the challenges in implementing 'One Nation, One Election' in a state like Uttar Pradesh, Rinwa said, ""There will be no problems if we have the necessary infrastructure, mainly, sufficient number of EVMs.""""We have over 1.62 lakh polling stations... if 'One Nation, One Election' is implemented, a minimum of 3.24 lakh EVMs will be needed, one for LS polls, and one for assembly polls,"" he added.The official further said the weather in April and May will be hot, and it might discourage the voters from coming out.""Keeping this in mind, we have asked our DEOs (district election officers) to ensure clean drinking water at polling stations and shade for the voters standing in queues.""We have also asked for some furniture for senior citizens, pregnant women and physically challenged voters,"" Rinwa said.Rinwa said the people have been advised to use the early morning hours to cast their vote to avoid the afternoon sun.On steps taken by the ECI to ensure that the polling staff also remains physically and medically fit during the election period, the UP CEO said, ""We will provide medical kits to all the polling teams, along with a list of do's and don'ts.""On the challenges faced by the poll body, the official said, ""In UP and Bihar, there are a number of voters in the voters' list, who do not exist. This happens as people do not file Form 7 to get their names deleted.""""In the recent special summary revision, we have taken a number of steps to ensure that our voter list is clean,"" he added.Form 7 has to be filed in case of the death of a voter, shifting to a different constituency, and duplication of a voter's identity among other reasons. PTI NAV Polling stations in UP's gated communities to increase voter turnout: EC RHL",The Election Commission of India has set up more than 200 polling stations within housing societies in the urban areas of Uttar Pradesh. Chief Electoral Officer Navdeep Rinwa said the poll body is targeting urban areas that have registered a low voter turnout in the past. He expressed that Uttar Pradesh will secure the first position as far as voting percentage is concerned.,"https://static.toiimg.com/thumb/msid-109287410,imgsize-43684,width-400,resizemode-4/109287410.jpg"
"'Entire team ready, adequate security arrangements made': Chief electoral officer of Mizoram on poll preparedness",https://timesofindia.indiatimes.com/india/entire-team-ready-adequate-security-arrangements-made-chief-electoral-officer-of-mizoram-on-poll-preparedness/articleshow/109287164.cms,"AIZAWL: Madhup Vyas, the chief electoral officer of Mizoram , said that the 'entire team' is ready for the upcoming Lok Sabha elections .Speaking to on Saturday on the poll preparedness in the state's sole Lok Sabha seat, Vyas said, ""Entire team is ready and we published the final electoral roll on February 6th this year. As per our current status, we have around 8.56 lakh voters and we have a very healthy gender ratio.We have more female voters than male voters.""The Chief Electoral Officer also provided an update on the security arrangements in view of the elections.""We have made sufficient arrangements for the stay of the polling parties at night. Adequate security arrangements have also been made. We have received 12 CAPF companies. Though we don't have any history of violence, we are leaving no stone unturned,"" he said.The voting in Mizoram to elect one member to the 18th Lok Sabha in the upcoming elections will take place on April 19 in the first phase.Candidates of several major parties are in the poll fray in Mizoram, eyeing the sole LS seat.Mizo National Front (MNF), which currently holds the seat, has fielded K Vanlalvena this time. Others fighting for the seat include Zoram People's Movement (ZPM) candidate Richard Vanlalhmangaiha, Bharatiya Janata Party's Lalbiakzama and Mizoram People's Conference (MPC), which has fielded Rita Malsawmi.In the 2019 Lok Sabha elections, the MNF's C Lalrosanga won the seat against the INC's Lalnghinglova Hmar by a margin of 8140 votes.","The voting in Mizoram to elect one member to the 18th Lok Sabha in the upcoming elections will take place on April 19 in the first phase. Candidates of several major parties are in the poll fray in the state, eyeing the sole LS seat. Madhup Vyas, the Chief Electoral Officer also provided an update on the security arrangements.","https://static.toiimg.com/thumb/msid-109287218,imgsize-511162,width-400,resizemode-4/109287218.jpg"
"Lens on Megha Engineering, babus in graft case",https://timesofindia.indiatimes.com/india/lens-on-megha-engineering-babus-in-graft-case/articleshow/109279679.cms,"NEW DELHI: CBI has filed an FIR against Hyderabad-based Megha Engineering and Infrastructure Ltd, one of the top buyers of electoral bonds, and officials of ministry of steel in relation to alleged corruption in execution of a Rs 315-crore project.Those named in the FIR have been accused of receiving alleged bribe of around Rs 78 lakh in clearing bills worth Rs 174 crore of Megha Engineering in connection with works related to an integrated steel plant in Jagdalpur.According to the FIR, which was filed on March 31 on the basis of the preliminary probe report on the alleged bribery, related to works of intake well and pump house and cross-country pipeline at the plant, which was awarded to the company.CBI has named eight officials of NISP and NMDC Ltd - retired executive director Prashant Dash, director (production) DK Mohanty, DGM PK Bhuyan, DM Naresh Babu, senior manager Subro Banerjee, retired CGM (finance) L Krishna Mohan, GM (finance) K Rajshekhar and manager (finance) Somnath Ghosh in the FIR. The agency has also named two officials of MECON Ltd - AGM (contracts) Sanjeev Sahay and DGM (contracts) K Illavarsu.""A complaint dated March 18 by Arjun Vasant Pawar, Dy SP, (ACB-Chhattisgarh) addressed to the head of branch was received alleging that eight officials of NISP/NMDC and two officials of Mecon Ltd received bribe against payment by MNDC to Megha Engineering and Infrastructure Ltd (MEIL). So, an FIR was registered,"" said a senior officer.Megha Engineering had emerged as the second-biggest buyer of electoral bonds of over Rs 900 crores and had donated the highest amount of about Rs 586 crore to BJP, as per the data released last month by Election Commission. The company had also donated Rs 195 crore to BRS, Rs 85 crore to DMK, and Rs 37 crore to YSRCP. TDP got about Rs 25 crore from the company, while Congress got Rs 17 crore, the data showed.",CBI has filed an FIR against Hyderabad-based Megha Engineering and Infrastructure Ltd. The company is one of the top buyers of electoral bonds. CBI has also named officials of ministry of steel in relation to alleged corruption in execution of a Rs 315-crore project. Those named in the FIR have been accused of receiving alleged bribe.,"https://static.toiimg.com/thumb/msid-109279733,imgsize-95192,width-400,resizemode-4/109279733.jpg"
Western media questions Indian democracy in string of op-eds on Lok Sabha elections,https://timesofindia.indiatimes.com/india/western-media-questions-indian-democracy-in-string-of-op-eds-on-lok-sabha-elections/articleshow/109276663.cms,"LONDON: Opinion pieces on the Indian elections have been appearing thick and fast in the Western press.On Monday, the Times ran a “leading article” saying: “Mr Modi is likely to be recognised as probably the most significant Indian leader since independence”, putting his popularity down to spectacular growth, new technology, and welfare policies.“Modi has cultivated the image of a strongman… thumbing his nose at Western liberals and telling Indians their turn in the global spotlight has come.This plays as well with the poor as the rich elites,” it said.But “there is a darker side to his popularity,” the editorial continued. “Modi embraces ‘Hindutva”, playing up a nationalist Hinduism and discriminating against and passing laws that “disadvantage India’s large Muslim minority”. It said Modi was “intolerant of the opposition”, referring to the arrest of Delhi CM Arvind Kejriwal, and claimed that “heavy pressure has been imposed on India’s once lively press to toe the government line,” including occasional harassment of the BBC.The arrest of AAP ministers and freezing of Congress bank accounts have been frequently mentioned.Edward Luce, associate editor at the FT, asked on X: “Will this be India's last democratic election”, whilst Hannah Ellis-Petersen, the Guardian’s correspondent, wrote: “Analysts and opponents have warned this could be the most one-sided election in India’s history.”The FT’s editorial board penned an article titled “The ‘mother of democracy’ is not in good shape”, saying: “PM Modi has repeatedly called India the ‘mother of democracy’. If so, an intensifying clampdown on opposition parties suggests this matriarch of representative government is in ill health. Harassment, often by tax or legal authorities, has become common for government critics… The BJP ’s muscular Hindu nationalism has eroded India’s tradition of secular democracy.”Bloomberg columnist Andy Mukherjee wrote that the ""more progressive and successful part of the country"" was ""drifting away from the poverty-ridden north"" and its ""majoritarian leader."" “A Hindu rashtra, or nation-state, will play well in the north. The very prospect of such an outcome fills the south with dread,” he claimed.In the FT, Ruchir Sharma argued that Modi had expanded his base, not because of Hindutva ideology, but because he was delivering economic progress, and that the people of India were prepared to “trade political freedom for perceived progress” in the same way countries such as Taiwan and South Korea put together long runs of rapid growth with low inflation under autocratic leaders.All the op-eds predicted BJP would win the election and Congress faced a wipeout. The Economist published a list of books on Hindutva, telling its readers that non-Indians needed to understand the origins and core ideas of the “dangerous ideology”.“The residual Congress ideology is a sort of English Fabian socialism left out too long in the sun. The Congress manifesto was a standard left-of-centre list of desirable state handouts.It said little about more inclusive growth. It is impossible to avoid the conclusion that Congress deserves the obscurity to which it is headed because of its acute intellectual shortcomings,” Philip Collins wrote in the Times.","All the op-eds predicted BJP would win the election and Congress faced a wipeout. The Economist published a list of books on Hindutva, telling its readers that non-Indians needed to understand the origins and core ideas of the “dangerous ideology”","https://static.toiimg.com/thumb/msid-109276699,imgsize-1404661,width-400,resizemode-4/109276699.jpg"
Politicians' vocal cords suffer silently as poll campaign picks up,https://timesofindia.indiatimes.com/india/politicians-vocal-chords-suffer-silently-as-poll-campaign-picks-up/articleshow/109278110.cms,"As we brace for the impending political showdown with candidates giving it their vocal all, spare a thought for the unsung hero — the voice box — that often bears the brunt of their campaign rhetoric. With World Voice Day approaching on April 16 — a day dedicated to spotlighting the role vocal cord health plays in our personal and professional lives — it might be timely to explore how politicians, notorious for pushing their voices to the limit, struggle to keep their pipes in shape.Voice surgeon Dr Nupur Nerurkar says she often encounters politicians with “phonotraumatic lesions” or benign growths on the vocal cords due to overuse or non-stop speeches . “I see politicians all year round. That’s because unfortunately, most seek help only after three to six months of symptoms,” says Nerurkar whose yearly tally sees close to 15 politicians lining up for assistance with raspy, fatigued voices.The vocal folds, Dr Nerurkar explains, is in the shape of a ‘V’ roughly in the middle of the larynx and when one speaks, the folds vibrate 100 times in a second in men and 200 in women.While people whose jobs require them to talk a lot are more prone to voice disorders — think singers, teachers, RJs, actors, builders, housewives, and call centre workers — “What distinguishes politicians is that they not only speak loudly and continuously but their speeches are often emotionally charged. Also, they frequently address small gatherings or party meetings without a microphone, which further increases vocal strain,” says Nerurkar, adding that this relentless strain on the mid membrane of the vocal cord, also called the ‘striking zone’, takes its toll resulting in swollen tissues and the arrival of pesky bumps — nodules, polyps, or cysts.Based on a study that Nerurkar had conducted in 2016, politicians tend to fit into a personality type, with an increased chance of developing these vocal disorders. “We discovered a strong correlation between personality type and vocal health, and that the incidence of vocal abuse and subsequent vocal pathologies are heavily governed by the person’s personality traits,” explained Nerurkar.Researchers examined 100 individuals, half with vocal issues and half with healthy vocal cords, analysing personality traits, speech speed, and volume to identify factors causing polyps, nodules, and cysts. Interestingly, it wasn’t speech speed or volume that mattered most, but personality type. “Type A individuals, known for speaking loudly and quickly, were more prone to vocal problems compared to Type B who spoke more softly and slowly. Politicians typically fall into the Type A,” she said.It’s become a familiar sight over the years for audiologist and speech therapist Dr Piyush Gujarathi, to see politicians flocking to him with voice woes. “When their voice takes a hit, politicians tend to get jittery because speech holds immense importance for them. They feel under confident if they’re unable to project their voice.”However, unlike stage performers who are more cautious and aware of their limits, politicians tend to shrug it off as a sore throat, hoping warm water gargles will do the trick. “And typically end up in the doctor’s chamber at an acute stage when severity has peaked.”According to ENT specialist Dr Milind Navalakhe, the development of vocal lesions among politicians is often a gradual process, when an unyielding hoarse voice or sudden bleeding prompts them to seek medical attention.““I’ve seen politicians with polyps and also cases with subepithelial haemorrhage — the bursting of blood vessels beneath the vocal folds,” says Dr Nerurkar who has performed micro laryngeal surgeries on several of them. “I’ve also had politicians come with spasmodic dysphonia where muscles in the voice box go into spasm while talking. We inject botox into the vocal folds for these patients.”Symptoms of vocal cord edema — hoarseness, pain, change of pitch, inability to speak — had crept up slowly, prompting three politicians — Samajwadi’s Rais Shaikh, Bala Nandgaonkar of MNS and Congress’s Neelam Dolas —to finally seek medical help after a month of enduring the discomfort while campaigning for the 2014 assembly elections. The trio were advised 20-day ‘voice rest’ by doctors after they damaged their vocal cords while giving loud speeches and addressing non-stop public meetings.Former Indian cricketer turned Congress leader Navjot Singh Sindhu had a similar experience during the Lok Sabha election in 2019 when he damaged his vocal cords after speaking at 80 political rallies in 28 days. Instead of opting for a soothing balm coating that would force him into four days of silence, he chose anti-inflammatory injections and steroids.“The issue is that they keep at it without much regard for vocal hygiene — forgetting to slow down, sip water in between speeches and resist the urge to shout into the microphone,” says Navalakhe. “In the initial stages, conservative medical management and speech therapy can resolve the issues. Surgery becomes necessary when nodules fail to respond to therapy,” says Navalakhe, who notes that approximately 10 percent of his patients are politicians, many of whom have undergone surgical procedures under his care.But post-op, is where the real challenge is. Patients require at least seven days of voice rest. “And getting them to follow that up with voice therapy is another uphill battle,” says Dr Nerurkar of breaking ingrained vocal habits with proper volume control, speech speed, microphone usage, and relaxation techniques to prevent nodules from reappearing. “Occasionally, I have to be quite firm with them, it’s like guiding someone through a weight loss journey,” says Dr Gujarathi.“I have to often remind them that healing takes time and commitment. The body doesn’t recognise one’s profession or prominence,” says Dr Nerurkar, recounting a case involving a senior politician who came to her with a voice change, and was ultimately diagnosed with a vocal fold polyp.“After undergoing laser excision surgery, I presented him with a ‘voice rest’ badge — a yellow smiley with a crossed-out mouth — that I give all my patients. He was so good at following instructions that he upgraded to a poster on his desk at Mantralaya and pointed at it every time someone tried to make conversation during his recovery. Since then, he’s done well and referred other politicians to me,” says Nerurkar.Because a clear, strong voice could be worth its weight in votes.",World Voice Day on April 16 is dedicated to spotlighting the role vocal cord health plays in our personal and professional lives. Voice surgeon Dr Nupur Nerurkar says she often encounters politicians with “phonotraumatic lesions” or benign growths on the vocal cords due to overuse.,"https://static.toiimg.com/thumb/msid-109278191,imgsize-115522,width-400,resizemode-4/109278191.jpg"
"Eye on four 'castes', PM Modi to unveil BJP manifesto today",https://timesofindia.indiatimes.com/india/eye-on-four-castes-pm-modi-to-unveil-bjp-manifesto-today/articleshow/109280243.cms,"NEW DELHI: Less than a week before the first phase of polling on April 19, PM Narendra Modi will launch the party's manifesto for Lok Sabha polls on Sunday.Modi along with other senior functionaries will release the manifesto - Sankalp Patra - with its planks of welfare and development , besides a roadmap for 'Viksit Bharat' expected to figure prominently in its agenda.They are expected to attend the unveiling of the manifesto at the party headquarters that coincides with the birth anniversary of B R Ambedkar, a towering figure for the Dalit community and architect of the Indian Constitution.As BJP govt has fulfilled most of its core ideological promises, including the construction of Ram temple in Ayodhya and repeal of Article 370, all eyes will be on how the party's larger cultural and Hindutva agenda figures in the manifesto.Party sources said measures for youth, women, farmers and the poor - four ""castes"" Modi has often spoken about - will be among the highlights of its poll pledges. Party sources also said the fulfillment of promises made to the electorate is likely to be an important highlight of the manifesto.""People of the country have understood the difference between promises and their delivery. The manifesto will be pragmatic and realistic... no promises that can't be fulfilled,"" said a senior BJP functionary as he asserted that the manifesto will be a guiding principle for the party for governance, unlike the ""desperate promises"" made by the opposition parties.",Modi along with other senior functionaries will release the manifesto - Sankalp Patra. The unveiling coincides with the birth anniversary of B R Ambedkar. All eyes will be on how the party's larger cultural and Hindutva agenda figures in the manifesto.,"https://static.toiimg.com/thumb/msid-109280262,imgsize-28128,width-400,resizemode-4/109280262.jpg"
NHRC’s inquiry at Sandeshkhali finds ‘instances of atrocities on victims’,https://timesofindia.indiatimes.com/india/nhrcs-inquiry-at-sandeshkhali-finds-instances-of-atrocities-on-victims/articleshow/109276959.cms,"NEW DELHI: National Human Rights Commission’s spot inquiry into the violence in Sandeshkhali case has revealed “several instances of atrocities on victims” that prima facie show that there was violation of human rights due to “negligence in prevention” of these incidents. The Commission has recommended an impartial investigation into the complaints by central agencies.Noting that the Calcutta High Court is already hearing the Sandeshkhali case, the NHRC will be seeking leave of the HC to intervene in the matter.As per the observations in the report based on a spot visit by a team led by one of its members from the commission between February 23-25 “the atmosphere due to the atrocities by the alleged accused persons rendered the victims silent” and the “intimidation” and “terror created” made them “reluctant to seek justice”.The NHRC emphasised on the need to “reinstate trust in the rule of law and confidence in authorities” and “uproot the fear” of these accused persons from the hearts of the victims. The commission highlights the important role that district authorities have going forward in instilling confidence among residents so that others who have been victims of crimes may come forward and file their complaints.The NHRC has recommended the appointment of special rapporteurs to periodically report on the situation in Sandeshkhali. Some of the other recommendations include - “investigation of missing girls and women from Sandehskhali; ensuring witness protection and redressal of grievances; counseling and rehabilitation of victims of sexual offences; return of the land to the legitimate owners; operationalisation of Nationwide Emergency Response System (NERS).”The enquiry report highlights with much concern that according to data on missing females provided by Police Station Sandeshkhali from January 1,2023 to February 25, as many as 37 young women and 3 minor girls were still untraced. ""This number is alarmingly large and a thorough in-depth investigation is required to trace the victims and to ascertain the reasons for their going missing including the angel of human trafficking,"" the report states. Hence the Commission has recommended that an investigation is necessary into cases of women who have gone missing.The commission has sought an action taken report on its recommendations within eight weeks from the West Bengal govt.According to the report the “The villagers/victims faced assault, threat, sexual exploitation, land grabbing, and forced unpaid labour, and under the given circumstances they were compelled to seek livelihood outside the Sandeshkhali region.”The inquiry also observes that “allegations of deprivation of the right to vote are serious in nature and undermine the democratic values of the nation.”The NHRC statement further highlighted that the inquiry team interacted with the police and administration at Sandeshkhali and requested for further information, ""but despite reminders, no reply has been given to date”.Sheikh Shahjahan - the prime accused facing allegations of land grab and sexual harassment in Sandeshkhali, was arrested on February 29 by the state police. A Trinamool Congress (TMC) leader, Shahjahan, was suspended by the party for six years after his arrest.On February 21, the NHRC, had taken suo motu cognizance of media reports related to the protests and violence in Sandeshkhali. Besides deciding on sending a team to the spot, the Commission also sought a report from the state government. In response to the NHRC notice the DG & IGP, West Bengal on February 29 revealed that a total of 25 cases were registered among which 7 cases were on complaints of alleged sexual offence against women and 24 accused persons were arrested. The state authorities had said that efforts were also being made to arrest the absconding perpetrators of the crime. The overall situation of the entire Sandeshkhali area was described by the state authorities ""to be well under control"".",National Human Rights Commission’s spot inquiry into the violence in Sandeshkhali case has revealed “several instances of atrocities on victims” The Commission has recommended an impartial investigation into the complaints by central agencies. The NHRC emphasised on the need to “reinstate trust in the rule of law and confidence in authorities”,"https://static.toiimg.com/thumb/msid-109276960,imgsize-96482,width-400,resizemode-4/109276960.jpg"
