Article Title,Article Link,Article Text,Article Summary,Article Image
"Indian mission in Israel issues fresh advisory, no country evacuating its nationals so far following Iran salvo",https://timesofindia.indiatimes.com/india/indian-mission-in-israel-issues-fresh-advisory-no-country-evacuating-its-nationals-so-far-following-iran-salvo/articleshow/109287001.cms,"TEL AVIV: The Indian mission in Israel on Sunday issued a fresh ""important advisory "" for its nationals after attacks on the Jewish State by Iran with hundreds of projectiles, advising them to stay calm and adhere to safety protocols .In an unprecedented attack, Iran and its proxies launched 330 missiles and drones on Israel on Saturday in retaliation to an alleged attack by Israel on a diplomatic installation of the Islamic Republic in Damascus in which several people were killed, including two top commanders.""In light of the recent events in the region, all Indian nationals in Israel are advised to stay calm and adhere to the safety protocols issued by the local authorities,"" the Indian mission said in the ""important advisory"" advisory posted on its social media handles.""The Embassy is closely monitoring the situation and it is in touch with the Israeli authorities and Indian community members to ensure the safety of all our nationals,"" it added.It also urged Indian nationals to register with the embassy at a given link.The Indian embassy had also issued an advisory on Friday amid growing speculation of a retaliatory attack by Iran advising its nationals to ""avoid unnecessary travel, remain calm and follow safety guidelines issued by the local authorities"".It was the first time that the Islamic Republic launched an attack on the Jewish State from its own soil.Despite the barrage of projectiles fired on Israel, none of the countries have taken any steps so far to evacuate their nationals, even though some of them, including the US, have issued advisories.Schools and other educational institutions in Israel have suspended their activities till Monday but government offices and private businesses largely are functioning as usual with the government instructing all to follow guidelines being issued by the Home Front.Israel Defence Forces (IDF) spokesperson said that 99 per cent of the roughly 330 missiles and drones launched by Iran were intercepted, but that ""the threat is not over"".Iran has warned Israel of a larger attack on its territory should it retaliate, adding that US bases would be targeted if Washington backs any Israeli military action against Iran.The United States, France, Britain and Jordan are said to have helped intercept the projectiles fired by Iran.""We intercepted, we stopped [the attack]. Together we will win,"" Israeli Prime Minister Benjamin Netanyahu said in a tweet on Social media platform X, formerly Twitter.Hamas called the Iranian attack a ""natural right"".Iranian threat had led to worldwide diplomatic initiatives to thwart a possible further conflagration in the region already struggling with Israel's offensive in Gaza following a terror attack carried out by Hamas in its territory on October 7 and also regular exchange of fire between the Jewish state and Lebanese Shia faction Hezbollah, which joined the war in solidarity with Hamas.Houthis, considered Iran's proxy in Yemen, and other factions seen as close to Tehran have also from time to time carried out attacks against Israel and assets of other countries that seem to be supportive of the Jewish state, disrupting international waters and global trade routes.Some analysts believe that the United States, preparing for elections, will not be supportive of an Israeli retaliation as it can shake up the oil market and cause further economic turmoil that can adversely impact President Joe Biden's re-election bid.","Iran launched 330 missiles and drones on Israel on Saturday in retaliation to an alleged attack by Israel on a diplomatic installation of the Islamic Republic in Damascus. Despite the barrage of projectiles fired on Israel, none of the countries have taken any steps so far to evacuate their nationals. The Indian embassy had also issued an advisory on Friday amid growing speculation of a retaliatory attack.","https://static.toiimg.com/thumb/msid-47529300,imgsize-110164,width-400,resizemode-4/47529300.jpg"
Andhra Pradesh CM Jagan Mohan Reddy hurt in stone-pelting during poll yatra in Vijayawada,https://timesofindia.indiatimes.com/city/vijayawada/andhra-pradesh-jagan-mohan-reddy-hurt-in-stone-pelting-during-poll-yatra-in-vijayawada/articleshow/109278589.cms,"VIJAYWADA: Andhra Pradesh chief minister and YSRCP president Y S Jagan Mohan Reddy was injured in a stone pelting incident while campaigning in Vijayawada on Saturday night.Jagan was on his 'Memantha Siddham' bus yatra when someone in the crowd hurled stones at him, even as his followers were busy welcoming him with a huge garland with the help of a crane.The CM received an injury on his forehead just above the left eyebrow, while Vijayawada West legislator Vellampalli Srinivas, standing next to him, was hurt in the left eye.Immediate medical attention was provided to both of them inside the specially designed bus for electioneering, following which Jagan continued his yatra.However, the situation turned tense in the city after the targeted attack. Although the identity of the attacker(s) remained unknown, local functionaries of YSRCP expressed suspicion that the opposition, particularly TDP, might be behind the attack. Police have initiated an investigation to identify culprits.",Andhra Pradesh chief minister and YSRCP president Y S Jagan Mohan Reddy was injured in a stone pelting incident while campaigning in Vijayawada on Saturday night. Jagan was on his 'Memantha Siddham' bus yatra when someone in the crowd hurled stones at him.,"https://static.toiimg.com/thumb/msid-109279172,imgsize-63668,width-400,height-225,resizemode-72/109279172.jpg"
Israel-Iran tensions may send fares of Europe flights soaring,https://timesofindia.indiatimes.com/india/israel-iran-tensions-may-send-fares-of-europe-flights-soaring/articleshow/109277035.cms,"NEW DELHI: Your flying time to and from Europe and UK will increase by anywhere upto an hour, likely sending airfares northward too.Air India , Vistara and foreign airlines have started avoiding overflying Iranian airspace due to the looming threat of Iran attacking Israel , which US President Joe Biden expects may happen ""sooner than later"". IndiGo, whose daily service between Mumbai/Delhi and Istanbul is operated on Turkish Airlines wet-lease aircraft, is also taking an alternative route.AI's Delhi-Tel Aviv flight operated Saturday and the airline is watching the station to decide in real-time whether to continue the four-times-a-week flight, say sources.AI had suspended this route after the Oct 7 attack on Israel and resumed them on March 3. India advised its citizens on Friday not to travel to Iran or Israel till further notice.Air India Flight 161, for instance, took off from Delhi at 4.30 am on Saturday but did not overfly Iran; instead, it took another route to London - instead of the usual India-Pakistan-Iran-Turkey-Black Sea route to Europe, the Boeing 787 Dreamliner followed a northern flight path. Thanks to AI still overflying Russia, this option is available to the airline for flights between Europe/UK and its main bases of Delhi and Mumbai. AI 161 had overflown Iran on Friday.An Air India spokesperson said: ""We are closely monitoring the developing situation in the Middle East. Presently, our aircraft will operate on alternate flight paths to and from India - according top priority to the safety of our passengers and crew.""Lufthansa's Frankfurt-Mumbai Friday flight took the Greece-Mediterranean Sea-Saudi Arabia-Persian Gulf-Arabian Sea route to Mumbai. Earlier it would take the Black Sea-Iran-Pakistan route to Mumbai. A spokesperson for German carrier told TOI: ""We have temporarily stopped overflying Iranian airspace till April 18. Security is our number one priority.""A Vistara spokesperson said: ""Due to the current situation affecting parts of the Middle East, we are making changes to flight paths of some of our flights. Contingency routes, which are kept available to ensure operational continuity during such eventualities, are being used instead. This may result in longer flight times on certain routes and associated delays. The situation is being monitored closely and further changes will be made if required."" Vistara operates between Delhi/Mumbai and London, Frankfurt and Paris.Increased geopolitical tensions have added to no-fly zones. Commercial airliners avoid Afghanistan ever since the country was taken over by the Taliban; Russia's war in Ukraine has made both the countries no-overflying zones for most Western airlines; US carriers have been avoiding Iran for some time now. The conflict zone lies on the crucial West-East route.","Air India, Vistara and foreign airlines have started avoiding overflying Iranian airspace. India advised its citizens on Friday not to travel to Iran or Israel till further notice. Air India Flight 161, for instance, took off from Delhi at 4.30 am on Saturday but did not overfly Iran.","https://static.toiimg.com/thumb/msid-109277041,imgsize-22858,width-400,resizemode-4/109277041.jpg"
EAM & UK minister hold talks on W Asia,https://timesofindia.indiatimes.com/india/eam-uk-minister-hold-talks-on-w-asia/articleshow/109280658.cms,"In the midst of escalating tensions between Israel and Iran, external affairs minister S Jaishankar spoke to his United Kingdom counterpart David Cameron about the situation in West Asia. ""Discussed the emerging situation in West Asia as also our bilateral ties,"" Jaishankar wrote in a post on X."," External affairs minister S Jaishankar spoke to his United Kingdom counterpart David Cameron. ""Discussed the emerging situation in West Asia as also our bilateral ties,"" he wrote in a post on X.com. ""We are committed to working closely with the UK,"" he said.","https://static.toiimg.com/thumb/msid-109280663,imgsize-53448,width-400,resizemode-4/109280663.jpg"
Shots fired outside Salman Khan's house in Mumbai's Bandra,https://timesofindia.indiatimes.com/city/mumbai/shots-fired-outside-salman-khans-house-in-mumbais-bandra/articleshow/109281301.cms,"MUMBAI: Two unidentified bike-borne men fired at actor Salman Khan 's residence in Bandra early on Sunday morning. Four empty shells and a live bullet have been found. Meanwhile, security at Khan's residence has been increased.The accused fled from the scene after the firing .A crime branch officer said an empty shell was found on Khan's balcony. The Bandra police have formed 15 teams to nab the shooters.The city crime branch is also conducting a parallel probe into the firing case. Cops said they are still trying to find out the motive behind the firing incident.""Around 5 am today, two unidentified people opened fire in the air. Four to five bullets were fired in the air, and empty shells have been found. Fifteen teams have been formed, and we are working on the case. A case has been registered, and an investigation is ongoing,"" said DCP Raj Tilak Roushan.Police teams reached Khan's residence and were talking to the family. Police will record their statements, said a senior police officer.""The pillion rider had fired bullets. We are still trying to find out who is behind this. We will know about the motive once we nab the accused. We are sure to nab them soon,"" said an officer.On the complaint of Khan's building security guard, a case of attempted murder under the IPC has been registered with the Bandra police. Sections of the Arms Act have also been invoked in the case.",Two unidentified bike-borne men fired at actor Salman Khan's residence in Bandra early on Sunday morning. Four empty shells and a live bullet have been found. Security at Khan's residence has been increased. The Bandra police have formed 15 teams to nab the shooters.,"https://static.toiimg.com/thumb/msid-109287255,imgsize-80770,width-400,height-225,resizemode-72/109287255.jpg"
"Israel Gaza war: Iran launches attack on Israel with hundreds of drones, missiles",https://timesofindia.indiatimes.com/world/middle-east/iran-launches-drone-attack-on-israel-in-retaliatory-response/articleshow/109277180.cms,"‘The malicious Zionist regime will be punished’: Khamenei

Iran has once again demonstrated that it is intent on sowing chaos in its own backyard: UK PM Rishi Sunak

NEW DELHI: Iran on Saturday launched an airborne attack toward Israel leading to a major escalation of the long-running conflict between the two countries.""Iran launched UAVs from its territory towards the territory of the state of Israel,"" Israel's military spokesman Daniel Hagari said in a televised statement.""We are working in close cooperation with the United States and our partners in the region in order to act against the launches and intercept them,"" he added.Meanwhile, the White House has also confirmed Iran's drone attack against Israel.Iran has begun an airborne attack against Israel that is likely to unfold over a number of hours, the White House said.According to National Security Council spokesperson Adrienne Watson President Joe Biden is being regularly updated by his national security. Biden is also in constant communication with Israeli officials as well as US partners and allies.Iran’s supreme leader, Ayatollah Ali Khamenei, also made the statement in a post on X alongside a video in which he stated that the Israeli “regime” is all “malice, evil and error”.UK Prime Minister Rishi Sunak also condemned Iran's attack against Israel and said, “I condemn in the strongest terms the Iranian regime’s reckless attack against Israel. These strikes risk inflaming tensions and destabilising the region. Iran has once again demonstrated that it is intent on sowing chaos in its own backyard.""The UK will continue to stand up for Israel’s security and that of all our regional partners, including Jordan and Iraq. Alongside our allies, we are urgently working to stabilise the situation and prevent further escalation. No one wants to see more bloodshed,” he added.UK's foreign secretary and former Prime Minister David Cameron also condemned the attack Israel and said, ""Iran's reckless attacks on Israel will only further inflame tensions in the Middle East.""""The UK calls on the Iranian regime to stop this serious escalation, which is in no one’s interest,"" he added.Earlier on Saturday Israel warned that Iran would suffer the ""consequences for choosing to escalate the situation any further"" as fears grew of wider conflict more than six months into Israel's war against Hamas militants in Gaza.","Iran has once again demonstrated that it is intent on sowing chaos in its own backyard: UK PM Rishi Sunak. Iran's supreme leader, Ayatollah Ali Khamenei, also made the statement in a post on X alongside a video in which he stated that the Israeli “regime” is all “malice, evil and error”","https://static.toiimg.com/thumb/msid-109277181,imgsize-27190,width-400,resizemode-4/109277181.jpg"
'Forgot' Hamas attack: Israel-Ireland spar over Irish PM's first speech condemning war in Gaza,https://timesofindia.indiatimes.com/world/middle-east/forgot-hamas-attack-israel-ireland-spar-over-irish-pms-first-speech-condemning-war-in-gaza/articleshow/109287281.cms,"Ireland rejects snub

NEW DELHI: Israel foreign ministry issued a harshly worded rebuke of new Ireland Prime Minister Simon Harris, claiming that he referred to the war in Gaza in his first public speech but left out the mention of October 7 Hamas attack.""Even after the largest massacre of Jews since the Holocaust, and even after the war crimes of the Hamas terrorists, there are those in Ireland who insist on being on the wrong side of history,"" said the ministry.The ministry also claimed that Harris aligns with Irish foreign minister Martin, who plans to provide further support to terrorism by issuing a legal opinion alongside 'legal arm of Hamas' South Africa.Israel's foreign ministry affirmed that the nation will continue to protect its citizens according to international law and persist in its efforts to secure the release of the 133 Israelis held hostage by Hamas in Gaza for the past six months, as well as to dismantle 'terrorist organisation Hamas so that October 7th never happens again.'The Irish government dismissed criticism from the Israeli foreign ministry regarding Harris' inaugural speech, saying that the Taoiseach has consistently maintained an impartial stance when addressing the conflict, including denouncing the abduction of the hostages and demanding their release.According to The Irish Times, Harris' spokesperson stated, ""By any fair analysis Ireland has always condemned the atrocity Hamas committed on October 7th and called for hostages to be released. The Taoiseach has repeatedly said it.""In his brief remarks about Gaza during his first speech as Taoiseach on Tuesday, Harris reportedly condemned the Hamas attack on October 7th, which claimed approximately 1,170 lives but also denounced Israel's disproportionate military response, which has resulted in over 33,000 fatalities.Harris in his speech said, ""In Gaza, we are witnessing a humanitarian catastrophe and seeing innocent children, women and men being starved and slaughtered. We have not been silent on the unforgivable terrorist actions of Hamas on 7th October, nor can we be silent on the disproportionate reaction of the Israeli Government. As a country, we will play our part in helping bring about a ceasefire and a lasting peace. Later this week I will travel to Brussels and deliver those messages to Europe on behalf of the Irish people.""","Israel foreign ministry issued harshly worded rebuke of new Ireland Prime Minister Simon Harris, claiming that he referred to the war in Gaza in his first public speech but left out the mention of October 7 Hamas attack. Israel's foreign ministry affirmed that the nation will continue to protect its citizens according to international law.","https://static.toiimg.com/thumb/msid-109287968,imgsize-1176480,width-400,resizemode-4/109287968.jpg"
Russia urges 'restraint' after Iranian attack on Israel,https://timesofindia.indiatimes.com/world/middle-east/russia-urges-restraint-after-iranian-attack-on-israel/articleshow/109287334.cms,"MOSCOW: Russia on Sunday urged all sides to ""show restraint "" after Iran launched an unprecedented missile and drone attack on Israel ""We are counting on the regional states to solve the existing problems with political and diplomatic means ,"" the foreign ministry said in a statement.Moscow expressed ""extreme concern over the latest dangerous escalation in the region"".It said it had warned numerous times that ""the lack of resolution to numerous crises in the Middle East, primarily in the zone of the Palestinian-Israeli conflict"" would ""lead to growth in instability "".Russian Foreign Minister Sergei Lavrov on Saturday held phone talks with Iranian counterpart Hossein Amir-Abdollahian.The Russian foreign ministry said Lavrov reiterated ""decisive condemnation"" of an Israeli strike in Syria this month that killed Iranian generals.Russia has previously condemned Israel's conduct in its six-month war in Gaza.Moscow has traditionally tried to maintain relations with all major powers in the Middle East.But the Gaza conflict has dented its ties with Israel and Moscow has already been strengthening military and political ties with Iran.","Moscow expressed ""extreme concern over the latest dangerous escalation in the region"" Russian Foreign Minister Sergei Lavrov on Saturday held phone talks with Iranian counterpart Hossein Amir-Abdollahian. Lavrov reiterated ""decisive condemnation"" of an Israeli strike in Syria this month that killed Iranian generals.","https://static.toiimg.com/thumb/msid-109287362,imgsize-1124276,width-400,resizemode-4/109287362.jpg"
Pakistani man among those killed in Sydney attack: Community groups,https://timesofindia.indiatimes.com/world/rest-of-world/pakistani-man-among-those-killed-in-sydney-attack-community-groups/articleshow/109285960.cms,"SYDNEY: A 30-year-old Pakistani man was named on Sunday as the security guard killed in a weekend knife attack in a Sydney shopping mall, according to two local community groups .The Australian Pakistani National Association and Ahmadiyya Muslim Community said Faraz Tahir was killed by a knife-wielding man who also killed five women.On Sunday evening, members of the Muslim community held a silent vigil for the man, who is said to have moved to Australia last year.""He quickly became an integral part of our community,"" a statement said.The Australian Pakistani National Association encouraged the community to ""stand together in solidarity, offering support and prayers to those grieving and affected by this heartbreaking loss"".As the attack unfolded on Saturday, online social media accounts falsely reported that the attack was linked to ideological or religious groups or events in the Middle East.Police have named the assailant as 40-year-old itinerant man Joel Cauchi who was previously diagnosed with a mental health issue.New South Wales police Assistant Commissioner Anthony Cooke said there was no evidence to suggest Cauchi was ""driven by any particular motivation, ideology or otherwise"".",Faraz Tahir was killed by a knife-wielding man who also killed five women. Online social media accounts falsely reported that the attack was linked to ideological or religious groups or events in the Middle East. Police have named the assailant as 40-year-old itinerant man Joel Cauchi.,"https://static.toiimg.com/thumb/msid-109286482,imgsize-965889,width-400,resizemode-4/109286482.jpg"
Israel 'still intercepting cruise missiles' in Iranian barrage,https://timesofindia.indiatimes.com/world/middle-east/israel-still-intercepting-cruise-missiles-in-iranian-barrage/articleshow/109286958.cms,"TEL AVIV: The Israel Defense Forces said its fighter jets were ""still intercepting cruise missiles outside the country's borders"" in the early hours of Sunday morning as Iran fired drones and missiles in its first direct attack on Israel.According to the IDF , more than 200 missiles and drones had been launched.US military forces intercepted many drones, but did not specify locations, numbers or methods.Jordan, which closed its airspace, also shot down several drones.Only one person was injured in the barrage, a 10-year-old girl who was injured by falling shrapnel from a missile near the Negev town of Arad. The IDF said that a military base in southern Israel also sustained minor damage.Sirens sounded in Jerusalem, northern Israel and the Negev, sending Israelis to shelter in safe rooms. Because ballistic missiles are intercepted at higher altitudes, shrapnel can fall over a wider area, the IDF said, explaining the widespread sirens.The IDF said dozens of ballistic missiles were intercepted by the Arrow 3 air defense system . The Arrow-3 system, which is capable of intercepting missiles in space, made its first interception when it shot down aHouthi ballistic missile in October. It may have been the first time a missile was shot down outside Earth's atmosphere, but Israel has not confirmed that.Before the widely expected attack, Israel authorities announced that schools would be closed on Sunday, as was Ben-Gurion International Airport.Palestinians in Gaza were seen cheering the missiles.Meanwhile, Iran warned the US not to join Israel in any counter-attack and threatened a harsh response to any country ""opens its airspace or territory for attacks on Iran by Israel,"" according to Iran's state-controlled Mehr news agency.Iran has vowed to avenge an airstrike on its embassy compound in Damascus on April 1. Killed in the strike was Quds Force commander of the Islamic Revolutionary Guard Corps (IRGC), Brigadier General Mohammad Reza Zahedi and seven other IRGC officers. The attack was widely attributed to Israel, though Jerusalem never confirmed this.","Israel Defense Forces: More than 200 missiles and drones had been launched. US military forces intercepted many drones, but did not specify locations, numbers or methods. Only one person was injured in the barrage, a 10-year-old girl who was injured by falling shrapnel.","https://static.toiimg.com/thumb/msid-109287003,imgsize-568811,width-400,resizemode-4/109287003.jpg"
